"D","Q_total_numerical","Q_total_analytical","Q_total_error","Q_vw_numerical","Q_vw_analytical","Q_vw_error","Q_til_numerical","Q_til_analytical","Q_til_error","dil_numerical","dil_analytical","dil_error"
0.125,0.0168577,0.00949038,43.7029,0.00948687,0.00949038,-0.0370019,7.38E-03,8.21E-03,-11.2572,1.28592,1.15624,10.0849
0.25,0.0133491,0.00949038,28.9062,0.0094931,0.00949038,0.0286548,3.86E-03,4.10E-03,-6.21458,2.45688,2.31247,5.87794
0.375,0.0121147,0.00949038,21.6622,0.00949533,0.00949038,0.0522073,2.62E-03,2.74E-03,-4.52862,3.62768,3.46871,4.38237
0.5,0.0114767,0.00949038,17.3071,0.00949649,0.00949038,0.0643225,1.98E-03,2.05E-03,-3.67817,4.79814,4.62494,3.60972
0.625,0.01109,0.00949038,14.4243,0.00949719,0.00949038,0.0717019,1.59E-03,1.64E-03,-3.15974,5.96812,5.78118,3.13247
0.75,0.0108295,0.00949038,12.3653,0.00949766,0.00949038,0.0766601,1.33E-03,1.37E-03,-2.80487,7.13747,6.93741,2.80291
0.875,0.0106424,0.00949038,10.8244,0.009498,0.00949038,0.0802363,1.14E-03,1.17E-03,-2.54332,8.30616,8.09365,2.55849
1,0.0105018,0.00949038,9.63074,0.00949825,0.00949038,0.0829208,1.00E-03,1.03E-03,-2.33818,9.47402,9.24988,2.36578
1.125,0.010393,0.00949038,8.68465,0.00949845,0.00949038,0.0850173,8.93E-04,9.12E-04,-2.1679,10.6408,10.4061,2.20511
1.25,0.0103052,0.00949038,7.90709,0.00949861,0.00949038,0.0867023,8.05E-04,8.21E-04,-2.02391,11.8066,11.5624,2.06874
1.375,0.0102333,0.00949038,7.25989,0.00949875,0.00949038,0.0880934,7.32E-04,7.46E-04,-1.89689,12.9713,12.7186,1.94803
1.5,0.0101729,0.00949038,6.70948,0.00949886,0.00949038,0.0892493,6.72E-04,6.84E-04,-1.77989,14.1344,13.8748,1.83645
1.625,0.0101219,0.00949038,6.23959,0.00949895,0.00949038,0.0902191,6.21E-04,6.31E-04,-1.67265,15.2963,15.0311,1.73387
1.75,0.0100779,0.00949038,5.82958,0.00949903,0.00949038,0.0910517,5.77E-04,5.86E-04,-1.57162,16.4567,16.1873,1.63694
1.875,0.0100407,0.00949038,5.48108,0.0094991,0.00949038,0.0917961,5.39E-04,5.47E-04,-1.47345,17.6152,17.3435,1.54252
2,0.0100073,0.00949038,5.16579,0.00949916,0.00949038,0.092423,5.06E-04,5.13E-04,-1.37859,18.7721,18.4998,1.45101
2.125,0.00997778,0.00949038,4.88489,0.00949921,0.00949038,0.0929814,4.77E-04,4.83E-04,-1.28538,19.9272,19.656,1.36087
2.25,0.0099517,0.00949038,4.63561,0.00949926,0.00949038,0.0934907,4.51E-04,4.56E-04,-1.19389,21.0804,20.8122,1.2722
2.375,0.00992845,0.00949038,4.41234,0.0094993,0.00949038,0.0939413,4.27E-04,4.32E-04,-1.10157,22.2313,21.9685,1.18249
2.5,0.00990634,0.00949038,4.19897,0.00949934,0.00949038,0.0943429,4.06E-04,4.10E-04,-1.00894,23.3801,23.1247,1.09226
2.625,0.00988406,0.00949038,3.98299,0.00949937,0.00949038,0.0947151,3.87E-04,3.91E-04,-0.914084,24.5261,24.2809,0.999661
2.75,0.00986982,0.00949038,3.84445,0.00949941,0.00949038,0.0950383,3.70E-04,3.73E-04,-0.820449,25.6703,25.4372,0.908038
2.875,0.00985304,0.00949038,3.68074,0.00949943,0.00949038,0.0953419,3.54E-04,3.57E-04,-0.724857,26.8117,26.5934,0.814296
3,0.00983787,0.00949038,3.53215,0.00949946,0.00949038,0.0956162,3.40E-04,3.42E-04,-0.626023,27.9501,27.7496,0.71715
3.125,0.00982057,0.00949038,3.36223,0.00949948,0.00949038,0.0958708,3.27E-04,3.28E-04,-0.526553,29.086,28.9059,0.619164
3.25,0.00980995,0.00949038,3.25761,0.00949951,0.00949038,0.0961157,3.14E-04,3.16E-04,-0.425865,30.2192,30.0621,0.519767
3.375,0.00979643,0.00949038,3.12415,0.00949953,0.00949038,0.096341,3.03E-04,3.04E-04,-0.322726,31.3493,31.2183,0.417719
3.5,0.00978498,0.00949038,3.01072,0.00949955,0.00949038,0.0965368,2.93E-04,2.93E-04,-0.21802,32.4765,32.3746,0.313872
