"H_top/T","Q_total_numerical","Q_total_analytical","Q_total_error","Q_vw_numerical","Q_vw_analytical","Q_vw_error","Q_til_numerical","Q_til_analytical","Q_til_error","dil_numerical","dil_analytical","dil_error"
0.1125,0.00219024,0.00118119,46.0704,0.00118752,0.00118119,0.532831,1.01E-03,1.03E-03,-2.025,1.18086,1.15126,2.50707
0.125,0.00336741,0.00236617,29.7331,0.00237493,0.00236617,0.368532,1.01E-03,1.03E-03,-2.05369,2.36228,2.30621,2.37348
0.1375,0.00456162,0.00355305,22.11,0.00356227,0.00355305,0.259005,1.01E-03,1.03E-03,-2.08607,3.54443,3.46301,2.29715
0.15,0.00575566,0.00474041,17.6391,0.00474957,0.00474041,0.192814,1.00E-03,1.03E-03,-2.12639,4.72765,4.62029,2.27092
0.1625,0.00694406,0.00592788,14.6337,0.00593682,0.00592788,0.150459,1.00E-03,1.03E-03,-2.16974,5.91192,5.77767,2.27092
0.175,0.00813076,0.00711538,12.4882,0.00712401,0.00711538,0.121201,1.00E-03,1.03E-03,-2.21996,7.09763,6.93507,2.29031
0.1875,0.00931695,0.00830288,10.8842,0.00831116,0.00830288,0.0996294,1.00E-03,1.03E-03,-2.27579,8.2849,8.09247,2.32257
0.2,0.0105018,0.00949038,9.63074,0.00949825,0.00949038,0.0829208,1.00E-03,1.03E-03,-2.33818,9.47402,9.24988,2.36578
0.2125,0.0116883,0.0106779,8.64443,0.0106853,0.0106779,0.0694525,1.00E-03,1.03E-03,-2.40472,10.665,10.4073,2.41607
0.225,0.0128746,0.0118654,7.83869,0.0118723,0.0118654,0.0582537,1.00E-03,1.03E-03,-2.47776,11.8581,11.5647,2.4747
0.2375,0.0140612,0.0130529,7.17126,0.0130592,0.0130529,0.0486986,1.00E-03,1.03E-03,-2.55704,13.0538,12.7221,2.54077
0.25,0.0152471,0.0142404,6.60284,0.0142461,0.0142404,0.0403567,1.00E-03,1.03E-03,-2.64183,14.2519,13.8795,2.61315
0.2625,0.0164326,0.0154279,6.11409,0.015433,0.0154279,0.032954,9.99E-04,1.03E-03,-2.73256,15.4529,15.0369,2.69195
0.275,0.0176182,0.0166154,5.69223,0.0166198,0.0166154,0.026631,9.98E-04,1.03E-03,-2.82907,16.6569,16.1943,2.77713
0.2875,0.0188045,0.0178029,5.32643,0.0178067,0.0178029,0.0212137,9.97E-04,1.03E-03,-2.93173,17.8642,17.3517,2.86884
0.3,0.0199903,0.0189904,5.00192,0.0189933,0.0189904,0.0156206,9.96E-04,1.03E-03,-3.04087,19.075,18.5091,2.96629
0.3125,0.0211763,0.0201779,4.71497,0.0201798,0.0201779,0.00945859,9.95E-04,1.03E-03,-3.15588,20.2891,19.6665,3.0685
0.325,0.0223613,0.0213654,4.4539,0.0213662,0.0213654,0.00380837,9.93E-04,1.03E-03,-3.27725,21.5072,20.824,3.17695
0.3375,0.0235468,0.0225529,4.22089,0.0225528,0.0225529,-0.000285339,9.92E-04,1.03E-03,-3.40509,22.7298,21.9814,3.29269
0.35,0.0247316,0.0237404,4.00812,0.0237395,0.0237404,-0.0035852,9.91E-04,1.03E-03,-3.53949,23.9569,23.1388,3.41503
0.3625,0.0259207,0.0249279,3.83023,0.0249259,0.0249279,-0.00798349,9.90E-04,1.03E-03,-3.68077,25.1884,24.2962,3.5424
0.375,0.0271041,0.0261154,3.6478,0.0261121,0.0261154,-0.0122705,9.88E-04,1.03E-03,-3.82853,26.4248,25.4536,3.67554
0.3875,0.0282897,0.0273028,3.48856,0.0272986,0.0273028,-0.0153651,9.87E-04,1.03E-03,-3.98291,27.6666,26.6109,3.81557
0.4,0.0294754,0.0284903,3.34205,0.0284848,0.0284903,-0.0191114,9.85E-04,1.03E-03,-4.14428,28.9136,27.7683,3.96101
0.4125,0.0306604,0.0296777,3.20515,0.0296709,0.0296777,-0.0229762,9.84E-04,1.03E-03,-4.31251,30.1661,28.9256,4.11219
0.425,0.0318452,0.0308651,3.07777,0.0308569,0.0308651,-0.0264536,9.82E-04,1.03E-03,-4.48796,31.4247,30.0829,4.26987
0.4375,0.0330284,0.0320524,2.95485,0.0320428,0.0320524,-0.0300802,9.80E-04,1.03E-03,-4.6706,32.6894,31.2402,4.43345
0.45,0.0342114,0.0332397,2.84037,0.0332287,0.0332397,-0.0331165,9.78E-04,1.03E-03,-4.86068,33.9608,32.3973,4.60379
0.4625,0.0353942,0.0344268,2.7334,0.0344143,0.0344268,-0.0363195,9.77E-04,1.03E-03,-5.05867,35.239,33.5544,4.78052
0.475,0.0365767,0.0356137,2.63264,0.0355996,0.0356137,-0.0398175,9.75E-04,1.03E-03,-5.26458,36.5241,34.7112,4.96345
0.4875,0.0377585,0.0368005,2.53711,0.0367845,0.0368005,-0.0436306,0.00097271,0.001026,-5.47852,37.8165,35.8679,5.1526
0.5,0.0389399,0.037987,2.4471,0.037969,0.037987,-0.0475184,0.000970671,0.001026,-5.70007,39.1162,37.0244,5.34773
0.5125,0.0401223,0.0391732,2.36542,0.0391534,0.0391732,-0.0505145,0.00096856,0.001026,-5.93045,40.4244,38.1805,5.55075
0.525,0.0413032,0.040359,2.2859,0.0403376,0.040359,-0.0531286,0.000966386,0.001026,-6.16876,41.7407,39.3363,5.7603
0.5375,0.0424847,0.0415444,2.21337,0.0415213,0.0415444,-0.0556106,0.000964137,0.001026,-6.41642,43.0657,40.4916,5.97728
0.55,0.0436658,0.0427291,2.14501,0.0427037,0.0427291,-0.0595828,0.000961809,0.001026,-6.67402,44.3994,41.6463,6.2006
0.5625,0.0448458,0.0439133,2.07952,0.0438854,0.0439133,-0.0634564,0.000959405,0.001026,-6.94127,45.7423,42.8004,6.43139
0.575,0.0460249,0.0450966,2.01703,0.0450659,0.0450966,-0.0680299,0.000956928,0.001026,-7.2181,47.0944,43.9538,6.66871
0.5875,0.0472015,0.046279,1.95428,0.0462458,0.046279,-0.0718323,0.000954372,0.001026,-7.5053,48.4568,45.1063,6.91452
0.6,0.0483788,0.0474605,1.89809,0.0474244,0.0474605,-0.0761069,0.000951736,0.001026,-7.80298,49.8293,46.2578,7.16759
0.6125,0.049553,0.0486408,1.841,0.0486018,0.0486408,-0.0802639,0.00094901,0.001026,-8.11269,51.2131,47.4082,7.42968
0.625,0.0507266,0.0498198,1.78766,0.0497776,0.0498198,-0.0846378,0.000946204,0.001026,-8.43326,52.6077,48.5573,7.69932
0.6375,0.0518947,0.0509973,1.72935,0.0509519,0.0509973,-0.0891812,0.000943304,0.001026,-8.76667,54.0143,49.705,7.97808
0.65,0.0530678,0.0521732,1.68566,0.0521244,0.0521732,-0.0936452,0.000940311,0.001026,-9.11288,55.4332,50.8511,8.26596
0.6625,0.0542297,0.0533474,1.62706,0.0532951,0.0533474,-0.0981626,0.000937219,0.001026,-9.47281,56.8651,51.9955,8.56345
0.675,0.0553951,0.0545196,1.58041,0.054464,0.0545196,-0.102194,0.000934027,0.001026,-9.84697,58.3109,53.138,8.87123
0.6875,0.0565566,0.0556897,1.53271,0.0556307,0.0556897,-0.10621,0.000930707,0.001026,-10.2387,59.7724,54.2785,9.19144
0.7,0.0577175,0.0568576,1.48983,0.0567945,0.0568576,-0.110969,0.000927278,0.001026,-10.6464,61.2487,55.4167,9.52175
0.7125,0.0588753,0.0580229,1.44774,0.0579558,0.0580229,-0.115819,0.000923702,0.001026,-11.0748,62.743,56.5526,9.8663
0.725,0.0600302,0.0591856,1.40695,0.059114,0.0591856,-0.121209,0.000920028,0.001026,-11.5184,64.2524,57.6858,10.22
0.7375,0.0611803,0.0603455,1.36452,0.0602692,0.0603455,-0.126608,0.000916186,0.001026,-11.9859,65.7827,58.8163,10.59
0.75,0.0623268,0.0615023,1.32279,0.0614216,0.0615023,-0.131391,0.000912166,0.001026,-12.4795,67.336,59.9438,10.9781
0.7625,0.0634714,0.062656,1.2848,0.0625704,0.062656,-0.136698,0.000907967,0.001026,-12.9997,68.9127,61.0682,11.3832
0.775,0.0646143,0.0638062,1.25074,0.0637158,0.0638062,-0.141829,0.000903573,0.001026,-13.5492,70.5154,62.1893,11.8076
0.7875,0.0657539,0.0649528,1.21829,0.064857,0.0649528,-0.147791,0.000898934,0.001026,-14.1352,72.1488,63.3069,12.2551
0.8,0.0668831,0.0660957,1.17735,0.0659949,0.0660957,-0.1527,0.000894047,0.001026,-14.759,73.8159,64.4208,12.7278
0.8125,0.0680148,0.0672346,1.14714,0.067128,0.0672346,-0.158835,0.000888831,0.001026,-15.4325,75.5239,65.5308,13.2317
0.825,0.069135,0.0683694,1.1074,0.0682575,0.0683694,-0.163867,0.000883275,0.001026,-16.1586,77.2777,66.6368,13.7697
0.8375,0.0702552,0.0694998,1.07531,0.0693819,0.0694998,-0.169913,0.000877285,0.001026,-16.9517,79.087,67.7386,14.3493
0.85,0.0713696,0.0706257,1.04235,0.0705021,0.0706257,-0.175285,0.000870763,0.001026,-17.8277,80.966,68.836,14.9816
0.8625,0.0724778,0.071747,1.00832,0.0716176,0.071747,-0.180698,0.000863611,0.001026,-18.8035,82.9281,69.9288,15.6753
0.875,0.0735803,0.0728634,0.974336,0.0727279,0.0728634,-0.186262,0.000855637,0.001026,-19.9107,84.9986,71.0169,16.4493
0.8875,0.0746787,0.0739747,0.942611,0.073833,0.0739747,-0.191915,0.000846606,0.001026,-21.1898,87.2106,72.1001,17.3264
0.9,0.0757684,0.0750809,0.907279,0.0749333,0.0750809,-0.197016,0.000836183,0.001026,-22.7005,89.6136,73.1783,18.3402
0.9125,0.0768506,0.0761818,0.870336,0.0760283,0.0761818,-0.201848,0.00082382,0.001026,-24.5418,92.2875,74.2512,19.5436
0.925,0.0779268,0.0772771,0.833765,0.0771177,0.0772771,-0.206715,0.000808677,0.001026,-26.8739,95.3628,75.3188,21.0186
0.9375,0.0789919,0.0783668,0.791298,0.0782022,0.0783668,-0.210513,0.000789301,0.001026,-29.9885,99.0778,76.3809,22.9082
0.95,0.0800462,0.0794507,0.744022,0.0792815,0.0794507,-0.213365,0.000763018,0.001026,-34.4661,103.905,77.4373,25.4731
0.9625,0.0810831,0.0805286,0.683823,0.0803566,0.0805286,-0.214042,0.000724239,0.001026,-41.666,110.953,78.4879,29.2603
0.975,0.0820897,0.0816004,0.595967,0.0814295,0.0816004,-0.209904,0.000659091,0.001026,-55.6689,123.548,79.5326,35.6262
0.9875,0.0830292,0.0826661,0.437358,0.0825067,0.0826661,-0.193093,0.00052096,0.001026,-96.9442,158.375,80.5712,49.1262
